winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,16,MARQUISE,26,30
EYRIE,13,MARQUISE,20,30
MARQUISE,19,MARQUISE,30,22
EYRIE,11,MARQUISE,20,30
EYRIE,16,MARQUISE,26,31
MARQUISE,13,MARQUISE,30,16
EYRIE,15,EYRIE,29,35
EYRIE,13,MARQUISE,19,31
MARQUISE,14,MARQUISE,30,23
EYRIE,15,MARQUISE,18,30
EYRIE,15,MARQUISE,24,33
EYRIE,11,MARQUISE,17,31
EYRIE,15,EYRIE,29,30
EYRIE,15,EYRIE,24,30
EYRIE,11,MARQUISE,20,33
EYRIE,13,MARQUISE,24,30
EYRIE,17,MARQUISE,26,32
MARQUISE,14,MARQUISE,31,23
EYRIE,11,MARQUISE,23,30
EYRIE,11,MARQUISE,19,32
MARQUISE,14,MARQUISE,30,22
EYRIE,17,MARQUISE,29,31
EYRIE,13,MARQUISE,24,33
EYRIE,19,MARQUISE,27,33
EYRIE,18,MARQUISE,25,30
MARQUISE,16,MARQUISE,33,23
MARQUISE,14,MARQUISE,32,21
EYRIE,13,MARQUISE,15,31
EYRIE,13,MARQUISE,28,30
EYRIE,13,MARQUISE,25,33
EYRIE,14,MARQUISE,26,31
MARQUISE,18,MARQUISE,34,13
EYRIE,12,MARQUISE,22,30
EYRIE,11,MARQUISE,23,32
EYRIE,15,MARQUISE,27,33
EYRIE,13,MARQUISE,27,30
EYRIE,13,EYRIE,17,30
EYRIE,13,MARQUISE,16,30
EYRIE,16,MARQUISE,29,30
MARQUISE,15,MARQUISE,30,30
MARQUISE,20,MARQUISE,30,28
EYRIE,13,MARQUISE,20,31
MARQUISE,18,MARQUISE,31,28
EYRIE,13,MARQUISE,25,33
MARQUISE,14,MARQUISE,30,24
MARQUISE,16,MARQUISE,31,29
EYRIE,11,MARQUISE,14,31
MARQUISE,14,MARQUISE,30,24
MARQUISE,16,MARQUISE,30,20
EYRIE,13,MARQUISE,20,30
EYRIE,11,EYRIE,21,33
EYRIE,11,MARQUISE,24,33
EYRIE,13,MARQUISE,29,30
EYRIE,16,MARQUISE,28,31
EYRIE,13,EYRIE,20,32
EYRIE,13,MARQUISE,27,34
EYRIE,15,EYRIE,26,30
EYRIE,16,MARQUISE,26,30
EYRIE,11,MARQUISE,13,32
MARQUISE,12,MARQUISE,30,28
EYRIE,16,MARQUISE,27,30
EYRIE,15,EYRIE,22,33
MARQUISE,14,MARQUISE,30,25
MARQUISE,16,MARQUISE,30,23
MARQUISE,16,MARQUISE,30,30
MARQUISE,14,MARQUISE,31,19
EYRIE,11,MARQUISE,22,30
EYRIE,14,MARQUISE,28,30
MARQUISE,16,MARQUISE,32,11
MARQUISE,14,MARQUISE,33,28
EYRIE,17,MARQUISE,26,32
EYRIE,11,EYRIE,22,31
EYRIE,9,MARQUISE,21,30
EYRIE,13,MARQUISE,26,30
MARQUISE,14,MARQUISE,31,17
EYRIE,14,MARQUISE,29,32
EYRIE,12,MARQUISE,23,30
MARQUISE,12,MARQUISE,30,17
MARQUISE,16,MARQUISE,31,10
EYRIE,17,MARQUISE,29,30
EYRIE,16,MARQUISE,25,31
EYRIE,11,MARQUISE,21,30
MARQUISE,18,MARQUISE,31,24
MARQUISE,16,MARQUISE,32,27
EYRIE,19,MARQUISE,23,31
EYRIE,12,MARQUISE,27,32
MARQUISE,14,MARQUISE,30,23
EYRIE,11,MARQUISE,25,30
MARQUISE,20,MARQUISE,30,24
EYRIE,18,MARQUISE,28,30
EYRIE,10,MARQUISE,14,30
EYRIE,11,MARQUISE,25,30
EYRIE,13,MARQUISE,26,30
EYRIE,11,MARQUISE,21,33
MARQUISE,17,MARQUISE,30,23
MARQUISE,18,MARQUISE,31,20
MARQUISE,22,MARQUISE,30,21
MARQUISE,20,EYRIE,31,30
EYRIE,12,MARQUISE,21,30
MARQUISE,15,EYRIE,30,17
