winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,18,MARQUISE,31,6
MARQUISE,18,MARQUISE,30,15
MARQUISE,16,MARQUISE,32,19
MARQUISE,15,MARQUISE,30,21
MARQUISE,14,MARQUISE,33,6
MARQUISE,14,MARQUISE,32,1
MARQUISE,16,MARQUISE,32,13
EYRIE,19,MARQUISE,27,34
EYRIE,15,MARQUISE,15,32
EYRIE,17,EYRIE,15,34
EYRIE,17,MARQUISE,25,32
MARQUISE,14,MARQUISE,30,18
MARQUISE,18,MARQUISE,33,1
MARQUISE,12,MARQUISE,32,0
EYRIE,15,EYRIE,27,32
MARQUISE,14,MARQUISE,33,15
MARQUISE,16,MARQUISE,31,1
MARQUISE,14,MARQUISE,33,5
MARQUISE,20,MARQUISE,33,2
EYRIE,17,MARQUISE,26,34
MARQUISE,19,MARQUISE,31,19
MARQUISE,15,MARQUISE,30,15
MARQUISE,18,MARQUISE,32,11
MARQUISE,18,MARQUISE,30,15
MARQUISE,14,MARQUISE,32,12
EYRIE,15,MARQUISE,29,32
MARQUISE,18,MARQUISE,31,15
MARQUISE,16,MARQUISE,30,22
MARQUISE,20,MARQUISE,30,26
MARQUISE,13,MARQUISE,30,7
EYRIE,23,MARQUISE,26,31
MARQUISE,16,MARQUISE,31,23
MARQUISE,20,MARQUISE,30,7
MARQUISE,14,MARQUISE,34,2
EYRIE,17,EYRIE,20,33
MARQUISE,10,MARQUISE,30,16
EYRIE,17,MARQUISE,26,31
MARQUISE,16,MARQUISE,31,8
EYRIE,17,MARQUISE,25,32
MARQUISE,13,MARQUISE,30,18
EYRIE,17,MARQUISE,20,30
MARQUISE,16,MARQUISE,33,0
MARQUISE,18,MARQUISE,31,4
MARQUISE,16,MARQUISE,31,13
MARQUISE,14,MARQUISE,32,4
EYRIE,22,MARQUISE,27,30
EYRIE,15,MARQUISE,15,30
EYRIE,15,MARQUISE,19,34
EYRIE,15,EYRIE,17,34
MARQUISE,20,MARQUISE,31,14
EYRIE,16,MARQUISE,21,33
MARQUISE,14,MARQUISE,34,24
MARQUISE,22,MARQUISE,30,28
EYRIE,17,MARQUISE,28,30
MARQUISE,18,MARQUISE,30,13
MARQUISE,14,MARQUISE,32,1
EYRIE,17,MARQUISE,21,32
MARQUISE,16,MARQUISE,30,17
MARQUISE,15,MARQUISE,30,13
MARQUISE,18,MARQUISE,31,24
EYRIE,17,MARQUISE,22,30
MARQUISE,14,MARQUISE,32,21
EYRIE,23,EYRIE,25,34
MARQUISE,16,MARQUISE,30,2
EYRIE,18,EYRIE,21,32
EYRIE,17,MARQUISE,25,31
MARQUISE,16,MARQUISE,34,10
MARQUISE,14,MARQUISE,30,29
MARQUISE,14,MARQUISE,32,11
MARQUISE,14,MARQUISE,32,10
EYRIE,17,MARQUISE,28,31
MARQUISE,20,MARQUISE,33,15
EYRIE,13,MARQUISE,23,32
MARQUISE,15,MARQUISE,31,24
EYRIE,15,MARQUISE,20,31
MARQUISE,18,MARQUISE,33,22
MARQUISE,16,MARQUISE,31,8
EYRIE,18,MARQUISE,23,30
MARQUISE,13,MARQUISE,30,2
MARQUISE,14,MARQUISE,30,14
EYRIE,17,MARQUISE,23,32
EYRIE,19,MARQUISE,21,32
EYRIE,15,MARQUISE,21,32
EYRIE,19,MARQUISE,28,32
EYRIE,17,MARQUISE,24,31
EYRIE,17,MARQUISE,26,32
MARQUISE,18,MARQUISE,31,24
MARQUISE,18,MARQUISE,33,18
MARQUISE,14,MARQUISE,31,25
EYRIE,17,MARQUISE,20,32
MARQUISE,16,MARQUISE,32,21
MARQUISE,18,MARQUISE,30,18
EYRIE,25,MARQUISE,26,32
MARQUISE,14,MARQUISE,31,16
EYRIE,17,EYRIE,23,30
EYRIE,21,MARQUISE,25,30
MARQUISE,18,MARQUISE,30,25
EYRIE,15,MARQUISE,25,31
EYRIE,12,MARQUISE,19,32
MARQUISE,12,MARQUISE,32,5
