winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,17,MARQUISE,33,24
MARQUISE,15,MARQUISE,30,24
EYRIE,11,MARQUISE,11,30
MARQUISE,16,MARQUISE,30,24
EYRIE,15,MARQUISE,29,31
EYRIE,11,MARQUISE,18,33
EYRIE,13,MARQUISE,14,31
EYRIE,13,MARQUISE,23,31
EYRIE,15,MARQUISE,13,31
EYRIE,15,EYRIE,13,30
MARQUISE,11,MARQUISE,30,15
EYRIE,14,MARQUISE,29,31
MARQUISE,17,MARQUISE,31,16
MARQUISE,16,MARQUISE,34,29
EYRIE,15,MARQUISE,14,34
MARQUISE,16,MARQUISE,32,9
MARQUISE,14,MARQUISE,30,23
MARQUISE,14,MARQUISE,30,15
EYRIE,11,MARQUISE,23,32
EYRIE,15,EYRIE,14,31
MARQUISE,15,MARQUISE,30,21
MARQUISE,14,MARQUISE,30,17
MARQUISE,16,MARQUISE,30,21
EYRIE,13,MARQUISE,11,32
MARQUISE,13,MARQUISE,30,17
MARQUISE,14,MARQUISE,31,14
MARQUISE,14,MARQUISE,32,23
MARQUISE,13,MARQUISE,31,31
MARQUISE,14,MARQUISE,32,17
MARQUISE,12,MARQUISE,30,10
EYRIE,13,MARQUISE,19,34
EYRIE,11,MARQUISE,8,30
MARQUISE,18,MARQUISE,32,28
EYRIE,17,EYRIE,14,30
EYRIE,15,MARQUISE,15,34
MARQUISE,12,MARQUISE,30,26
MARQUISE,14,MARQUISE,33,10
MARQUISE,14,MARQUISE,30,17
MARQUISE,14,MARQUISE,32,19
EYRIE,17,MARQUISE,26,31
MARQUISE,20,MARQUISE,32,4
MARQUISE,16,MARQUISE,31,23
MARQUISE,20,EYRIE,30,22
MARQUISE,14,MARQUISE,34,22
EYRIE,17,MARQUISE,21,33
MARQUISE,19,MARQUISE,31,22
EYRIE,11,MARQUISE,8,31
MARQUISE,12,MARQUISE,33,27
EYRIE,13,MARQUISE,12,30
MARQUISE,19,MARQUISE,30,10
EYRIE,15,MARQUISE,27,31
MARQUISE,16,MARQUISE,33,9
EYRIE,13,EYRIE,21,33
EYRIE,17,MARQUISE,19,32
MARQUISE,12,MARQUISE,30,26
EYRIE,11,MARQUISE,8,30
EYRIE,15,MARQUISE,21,30
MARQUISE,14,MARQUISE,33,13
EYRIE,15,MARQUISE,23,32
MARQUISE,14,MARQUISE,32,15
MARQUISE,14,MARQUISE,32,17
EYRIE,15,EYRIE,15,34
EYRIE,13,MARQUISE,18,33
MARQUISE,16,MARQUISE,32,19
EYRIE,17,MARQUISE,8,31
EYRIE,11,MARQUISE,17,30
MARQUISE,14,EYRIE,30,20
EYRIE,11,MARQUISE,15,30
EYRIE,15,EYRIE,26,30
MARQUISE,14,MARQUISE,34,15
EYRIE,13,MARQUISE,8,34
EYRIE,15,MARQUISE,28,30
EYRIE,13,EYRIE,14,32
MARQUISE,16,EYRIE,35,21
EYRIE,15,EYRIE,14,32
MARQUISE,14,MARQUISE,31,23
EYRIE,13,EYRIE,16,30
MARQUISE,13,MARQUISE,31,19
EYRIE,13,MARQUISE,5,32
MARQUISE,20,EYRIE,35,18
EYRIE,17,MARQUISE,28,32
EYRIE,13,MARQUISE,19,31
EYRIE,15,MARQUISE,21,31
MARQUISE,14,MARQUISE,30,13
MARQUISE,18,MARQUISE,33,15
EYRIE,11,MARQUISE,15,31
EYRIE,13,MARQUISE,27,30
MARQUISE,14,MARQUISE,30,12
MARQUISE,12,MARQUISE,31,22
EYRIE,15,EYRIE,20,31
MARQUISE,19,MARQUISE,30,21
MARQUISE,13,EYRIE,30,23
EYRIE,13,MARQUISE,11,32
MARQUISE,17,MARQUISE,30,17
EYRIE,11,MARQUISE,12,30
EYRIE,13,EYRIE,13,31
EYRIE,15,EYRIE,24,33
EYRIE,13,MARQUISE,19,33
EYRIE,15,MARQUISE,21,34
MARQUISE,16,MARQUISE,31,22
