winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,16,MARQUISE,34,20
EYRIE,11,MARQUISE,16,30
MARQUISE,16,MARQUISE,31,14
EYRIE,15,EYRIE,20,33
MARQUISE,14,MARQUISE,32,17
EYRIE,15,MARQUISE,15,33
EYRIE,13,EYRIE,26,31
EYRIE,13,MARQUISE,27,30
EYRIE,11,MARQUISE,17,32
MARQUISE,12,MARQUISE,30,10
MARQUISE,20,MARQUISE,33,25
MARQUISE,12,MARQUISE,31,8
EYRIE,19,MARQUISE,28,30
MARQUISE,16,MARQUISE,32,11
MARQUISE,14,MARQUISE,30,23
EYRIE,19,MARQUISE,28,31
EYRIE,17,EYRIE,26,31
MARQUISE,14,MARQUISE,30,29
EYRIE,19,MARQUISE,27,30
MARQUISE,12,MARQUISE,31,16
EYRIE,19,MARQUISE,20,33
MARQUISE,18,MARQUISE,34,15
EYRIE,19,MARQUISE,24,32
MARQUISE,16,EYRIE,31,28
MARQUISE,14,MARQUISE,30,24
EYRIE,21,EYRIE,24,32
MARQUISE,16,MARQUISE,32,22
EYRIE,21,MARQUISE,23,33
MARQUISE,20,MARQUISE,30,23
EYRIE,18,MARQUISE,26,30
EYRIE,15,MARQUISE,27,33
MARQUISE,12,MARQUISE,30,20
MARQUISE,18,MARQUISE,31,17
MARQUISE,16,MARQUISE,32,22
EYRIE,13,MARQUISE,16,30
EYRIE,13,MARQUISE,25,32
EYRIE,15,MARQUISE,29,30
EYRIE,15,MARQUISE,15,30
EYRIE,15,MARQUISE,28,30
EYRIE,17,MARQUISE,27,32
EYRIE,15,EYRIE,28,33
MARQUISE,17,MARQUISE,30,19
MARQUISE,14,MARQUISE,30,21
MARQUISE,16,MARQUISE,30,25
EYRIE,18,EYRIE,25,31
EYRIE,23,EYRIE,26,30
MARQUISE,16,MARQUISE,31,20
MARQUISE,24,MARQUISE,30,14
MARQUISE,19,MARQUISE,30,25
MARQUISE,12,MARQUISE,32,17
MARQUISE,19,MARQUISE,30,28
EYRIE,13,MARQUISE,22,32
EYRIE,15,MARQUISE,21,33
EYRIE,21,MARQUISE,29,30
EYRIE,15,EYRIE,23,30
EYRIE,13,MARQUISE,23,32
MARQUISE,12,MARQUISE,32,13
EYRIE,11,MARQUISE,23,30
EYRIE,27,EYRIE,28,32
EYRIE,15,MARQUISE,24,30
EYRIE,11,MARQUISE,15,30
EYRIE,12,MARQUISE,9,33
EYRIE,21,EYRIE,20,37
EYRIE,15,MARQUISE,22,33
MARQUISE,16,MARQUISE,31,18
EYRIE,20,MARQUISE,22,32
MARQUISE,15,MARQUISE,30,15
EYRIE,15,MARQUISE,22,32
EYRIE,19,MARQUISE,20,32
MARQUISE,20,MARQUISE,30,28
MARQUISE,20,MARQUISE,31,16
MARQUISE,14,MARQUISE,31,21
EYRIE,13,MARQUISE,21,31
EYRIE,17,MARQUISE,17,33
MARQUISE,14,MARQUISE,30,7
MARQUISE,16,MARQUISE,31,7
MARQUISE,18,MARQUISE,30,29
EYRIE,19,EYRIE,29,30
MARQUISE,17,MARQUISE,30,29
EYRIE,13,MARQUISE,17,31
EYRIE,13,MARQUISE,19,30
EYRIE,11,MARQUISE,20,31
MARQUISE,22,MARQUISE,31,26
EYRIE,11,MARQUISE,18,30
EYRIE,13,MARQUISE,25,34
MARQUISE,18,MARQUISE,30,29
EYRIE,13,EYRIE,23,30
MARQUISE,18,MARQUISE,30,19
MARQUISE,14,MARQUISE,31,6
MARQUISE,16,MARQUISE,30,10
EYRIE,14,MARQUISE,22,31
EYRIE,16,MARQUISE,25,30
MARQUISE,17,MARQUISE,30,20
MARQUISE,16,MARQUISE,30,19
EYRIE,13,MARQUISE,26,33
EYRIE,17,MARQUISE,25,33
EYRIE,11,MARQUISE,23,32
EYRIE,15,MARQUISE,25,34
EYRIE,14,MARQUISE,16,30
MARQUISE,14,MARQUISE,30,27
