winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,17,MARQUISE,29,30
MARQUISE,63,MARQUISE,30,22
EYRIE,19,MARQUISE,23,30
MARQUISE,15,MARQUISE,30,7
MARQUISE,22,MARQUISE,31,8
MARQUISE,14,MARQUISE,30,10
MARQUISE,14,MARQUISE,33,23
EYRIE,14,EYRIE,21,31
EYRIE,17,MARQUISE,29,30
MARQUISE,18,MARQUISE,33,3
MARQUISE,12,MARQUISE,30,0
EYRIE,19,EYRIE,28,31
MARQUISE,16,MARQUISE,32,17
MARQUISE,16,MARQUISE,30,26
MARQUISE,14,MARQUISE,30,14
EYRIE,18,MARQUISE,27,32
MARQUISE,16,MARQUISE,32,1
MARQUISE,16,MARQUISE,31,5
MARQUISE,14,EYRIE,31,15
MARQUISE,16,MARQUISE,31,16
EYRIE,22,MARQUISE,27,31
MARQUISE,14,MARQUISE,31,6
EYRIE,29,MARQUISE,29,31
EYRIE,15,MARQUISE,28,31
MARQUISE,14,MARQUISE,31,14
MARQUISE,19,MARQUISE,31,32
EYRIE,18,MARQUISE,27,31
MARQUISE,17,MARQUISE,30,27
MARQUISE,20,MARQUISE,34,24
MARQUISE,12,MARQUISE,30,11
MARQUISE,16,MARQUISE,30,3
MARQUISE,15,MARQUISE,31,4
MARQUISE,20,MARQUISE,34,26
MARQUISE,20,MARQUISE,30,27
MARQUISE,26,MARQUISE,30,28
MARQUISE,14,MARQUISE,30,16
MARQUISE,18,MARQUISE,31,26
MARQUISE,14,MARQUISE,32,13
EYRIE,21,MARQUISE,27,31
EYRIE,19,EYRIE,27,30
MARQUISE,14,MARQUISE,33,23
MARQUISE,16,MARQUISE,33,19
MARQUISE,18,MARQUISE,32,19
MARQUISE,20,MARQUISE,31,22
EYRIE,21,EYRIE,24,30
EYRIE,21,MARQUISE,25,30
MARQUISE,17,MARQUISE,30,27
EYRIE,19,MARQUISE,27,30
MARQUISE,17,EYRIE,30,26
MARQUISE,16,MARQUISE,31,17
MARQUISE,18,MARQUISE,30,21
MARQUISE,20,MARQUISE,30,26
MARQUISE,20,MARQUISE,34,28
MARQUISE,12,MARQUISE,30,2
MARQUISE,17,MARQUISE,30,5
MARQUISE,18,MARQUISE,33,19
MARQUISE,15,MARQUISE,31,24
MARQUISE,14,MARQUISE,30,16
MARQUISE,16,MARQUISE,31,15
EYRIE,19,EYRIE,29,31
MARQUISE,18,MARQUISE,30,24
MARQUISE,19,MARQUISE,30,24
MARQUISE,20,MARQUISE,32,22
MARQUISE,17,MARQUISE,31,16
MARQUISE,12,MARQUISE,30,17
EYRIE,15,MARQUISE,28,31
MARQUISE,20,MARQUISE,30,27
EYRIE,15,EYRIE,23,31
EYRIE,18,MARQUISE,27,30
EYRIE,19,MARQUISE,27,31
EYRIE,19,MARQUISE,27,30
MARQUISE,14,MARQUISE,31,5
EYRIE,23,MARQUISE,28,31
MARQUISE,24,MARQUISE,30,22
MARQUISE,18,MARQUISE,30,13
MARQUISE,12,MARQUISE,30,17
MARQUISE,21,MARQUISE,31,29
MARQUISE,16,MARQUISE,33,15
MARQUISE,18,MARQUISE,30,14
EYRIE,17,MARQUISE,26,31
EYRIE,18,MARQUISE,25,31
EYRIE,17,MARQUISE,27,30
MARQUISE,15,MARQUISE,30,4
EYRIE,15,MARQUISE,27,33
EYRIE,17,MARQUISE,26,30
MARQUISE,18,MARQUISE,33,16
MARQUISE,14,MARQUISE,31,18
MARQUISE,17,MARQUISE,31,20
MARQUISE,14,MARQUISE,31,1
MARQUISE,12,MARQUISE,30,18
MARQUISE,15,MARQUISE,32,19
MARQUISE,14,MARQUISE,30,0
MARQUISE,16,MARQUISE,33,25
MARQUISE,18,MARQUISE,30,21
MARQUISE,18,MARQUISE,32,7
MARQUISE,16,MARQUISE,32,16
MARQUISE,16,MARQUISE,30,24
MARQUISE,16,MARQUISE,33,0
MARQUISE,16,MARQUISE,31,22
MARQUISE,17,MARQUISE,30,9
