winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,14,MARQUISE,30,9
MARQUISE,14,MARQUISE,30,26
EYRIE,19,MARQUISE,17,33
EYRIE,13,MARQUISE,24,30
EYRIE,15,MARQUISE,9,31
EYRIE,15,MARQUISE,16,30
EYRIE,14,EYRIE,17,32
EYRIE,17,EYRIE,11,30
EYRIE,11,MARQUISE,5,30
MARQUISE,14,MARQUISE,32,17
EYRIE,13,MARQUISE,16,32
MARQUISE,13,MARQUISE,31,25
MARQUISE,14,MARQUISE,33,16
EYRIE,11,EYRIE,14,30
EYRIE,13,EYRIE,22,33
EYRIE,11,MARQUISE,9,33
EYRIE,19,MARQUISE,22,30
EYRIE,13,MARQUISE,15,34
MARQUISE,18,MARQUISE,31,13
MARQUISE,16,MARQUISE,30,24
EYRIE,15,MARQUISE,11,33
MARQUISE,16,MARQUISE,32,21
MARQUISE,16,MARQUISE,30,26
EYRIE,15,MARQUISE,14,34
MARQUISE,14,MARQUISE,33,18
EYRIE,16,EYRIE,11,33
EYRIE,13,MARQUISE,19,33
MARQUISE,16,MARQUISE,31,20
EYRIE,13,EYRIE,14,30
EYRIE,11,MARQUISE,11,30
EYRIE,11,MARQUISE,11,31
EYRIE,15,MARQUISE,11,32
EYRIE,13,EYRIE,14,39
EYRIE,19,EYRIE,18,33
MARQUISE,16,MARQUISE,31,18
EYRIE,13,MARQUISE,16,33
EYRIE,13,MARQUISE,16,30
EYRIE,11,MARQUISE,12,30
MARQUISE,18,MARQUISE,32,11
EYRIE,13,MARQUISE,16,33
EYRIE,21,MARQUISE,27,30
EYRIE,13,MARQUISE,10,33
MARQUISE,18,MARQUISE,31,19
EYRIE,15,MARQUISE,25,32
EYRIE,17,MARQUISE,16,31
EYRIE,27,MARQUISE,26,30
EYRIE,15,MARQUISE,17,33
EYRIE,13,MARQUISE,13,34
MARQUISE,12,MARQUISE,31,20
EYRIE,13,MARQUISE,22,33
EYRIE,18,MARQUISE,13,30
EYRIE,19,EYRIE,16,31
MARQUISE,14,MARQUISE,32,7
EYRIE,11,MARQUISE,15,30
EYRIE,15,MARQUISE,23,31
EYRIE,15,MARQUISE,15,33
EYRIE,13,MARQUISE,28,30
EYRIE,11,MARQUISE,13,30
MARQUISE,17,MARQUISE,30,14
EYRIE,11,MARQUISE,19,30
EYRIE,15,MARQUISE,21,34
EYRIE,17,EYRIE,21,31
EYRIE,11,MARQUISE,12,34
EYRIE,19,MARQUISE,22,30
EYRIE,17,MARQUISE,29,30
MARQUISE,23,MARQUISE,31,22
EYRIE,13,MARQUISE,28,30
EYRIE,13,EYRIE,13,31
EYRIE,13,EYRIE,19,32
EYRIE,13,MARQUISE,13,33
EYRIE,16,MARQUISE,23,34
EYRIE,21,EYRIE,21,37
EYRIE,11,MARQUISE,11,32
EYRIE,15,MARQUISE,16,30
EYRIE,11,EYRIE,14,31
EYRIE,17,MARQUISE,29,33
MARQUISE,16,MARQUISE,32,19
EYRIE,15,MARQUISE,25,31
MARQUISE,25,MARQUISE,31,16
MARQUISE,14,MARQUISE,30,17
MARQUISE,22,MARQUISE,31,29
MARQUISE,18,EYRIE,34,18
EYRIE,13,MARQUISE,15,34
EYRIE,15,MARQUISE,22,31
EYRIE,13,EYRIE,14,31
EYRIE,16,MARQUISE,16,30
EYRIE,11,MARQUISE,15,30
EYRIE,14,EYRIE,9,33
EYRIE,17,MARQUISE,16,30
MARQUISE,16,MARQUISE,34,22
EYRIE,13,MARQUISE,13,33
MARQUISE,18,MARQUISE,30,25
EYRIE,19,MARQUISE,17,30
MARQUISE,16,MARQUISE,33,15
MARQUISE,14,MARQUISE,31,29
EYRIE,15,EYRIE,20,31
MARQUISE,15,MARQUISE,30,27
EYRIE,15,MARQUISE,13,32
MARQUISE,14,MARQUISE,30,19
MARQUISE,16,MARQUISE,30,25
