winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,20,MARQUISE,30,22
EYRIE,11,MARQUISE,13,33
MARQUISE,14,MARQUISE,31,23
EYRIE,15,MARQUISE,27,32
EYRIE,13,MARQUISE,20,30
EYRIE,13,MARQUISE,22,34
EYRIE,13,EYRIE,13,32
MARQUISE,14,MARQUISE,30,14
EYRIE,11,MARQUISE,15,31
MARQUISE,15,MARQUISE,30,14
EYRIE,13,EYRIE,17,30
EYRIE,17,EYRIE,18,33
EYRIE,15,MARQUISE,12,32
EYRIE,13,MARQUISE,29,32
MARQUISE,17,MARQUISE,30,18
EYRIE,17,MARQUISE,29,30
MARQUISE,14,MARQUISE,31,19
MARQUISE,20,MARQUISE,31,14
MARQUISE,15,MARQUISE,30,18
MARQUISE,12,MARQUISE,30,24
MARQUISE,14,MARQUISE,30,27
EYRIE,19,MARQUISE,29,31
EYRIE,11,MARQUISE,18,33
EYRIE,15,MARQUISE,14,31
MARQUISE,13,MARQUISE,30,6
EYRIE,11,MARQUISE,18,30
MARQUISE,14,MARQUISE,33,19
EYRIE,13,MARQUISE,16,32
EYRIE,19,MARQUISE,22,30
EYRIE,13,MARQUISE,28,31
EYRIE,13,MARQUISE,16,30
MARQUISE,18,MARQUISE,32,26
EYRIE,13,MARQUISE,27,33
MARQUISE,18,MARQUISE,30,19
MARQUISE,15,MARQUISE,30,20
MARQUISE,14,MARQUISE,33,26
MARQUISE,20,EYRIE,32,9
MARQUISE,15,EYRIE,30,27
MARQUISE,16,MARQUISE,31,17
MARQUISE,15,EYRIE,30,23
MARQUISE,24,MARQUISE,32,23
EYRIE,13,EYRIE,9,30
EYRIE,17,MARQUISE,12,34
EYRIE,11,MARQUISE,12,31
EYRIE,11,MARQUISE,19,30
MARQUISE,18,MARQUISE,31,20
EYRIE,13,EYRIE,13,30
MARQUISE,13,MARQUISE,30,27
EYRIE,13,EYRIE,11,33
MARQUISE,17,MARQUISE,30,18
EYRIE,11,MARQUISE,9,32
MARQUISE,14,MARQUISE,30,18
MARQUISE,17,MARQUISE,30,27
EYRIE,17,MARQUISE,19,31
MARQUISE,18,MARQUISE,34,13
MARQUISE,22,MARQUISE,32,19
EYRIE,13,MARQUISE,26,30
EYRIE,13,MARQUISE,17,33
MARQUISE,15,MARQUISE,30,31
MARQUISE,18,MARQUISE,31,19
MARQUISE,14,MARQUISE,32,12
MARQUISE,14,MARQUISE,30,11
MARQUISE,14,MARQUISE,30,29
MARQUISE,12,MARQUISE,31,14
EYRIE,11,MARQUISE,14,31
MARQUISE,17,MARQUISE,30,15
MARQUISE,24,MARQUISE,33,14
EYRIE,23,EYRIE,14,38
EYRIE,13,MARQUISE,22,31
MARQUISE,16,MARQUISE,32,29
MARQUISE,15,EYRIE,30,24
EYRIE,15,MARQUISE,28,32
EYRIE,15,EYRIE,18,30
MARQUISE,15,MARQUISE,30,25
EYRIE,19,MARQUISE,26,30
EYRIE,13,EYRIE,17,31
MARQUISE,14,MARQUISE,31,20
MARQUISE,16,MARQUISE,33,16
MARQUISE,18,MARQUISE,33,24
EYRIE,13,EYRIE,9,39
EYRIE,17,MARQUISE,15,33
MARQUISE,14,MARQUISE,30,23
MARQUISE,14,MARQUISE,30,16
MARQUISE,16,MARQUISE,30,25
EYRIE,13,MARQUISE,18,34
MARQUISE,19,MARQUISE,31,25
MARQUISE,14,MARQUISE,32,25
MARQUISE,14,MARQUISE,30,24
EYRIE,13,MARQUISE,29,31
EYRIE,13,MARQUISE,28,30
MARQUISE,17,MARQUISE,30,25
EYRIE,11,MARQUISE,13,33
EYRIE,11,MARQUISE,21,31
EYRIE,13,MARQUISE,21,30
MARQUISE,18,MARQUISE,34,18
MARQUISE,20,MARQUISE,31,28
MARQUISE,18,MARQUISE,31,29
EYRIE,11,MARQUISE,14,30
MARQUISE,19,EYRIE,31,20
EYRIE,15,MARQUISE,25,33
