winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,15,MARQUISE,18,33
EYRIE,21,MARQUISE,21,30
EYRIE,13,MARQUISE,15,30
MARQUISE,14,MARQUISE,30,13
EYRIE,17,MARQUISE,15,34
EYRIE,13,MARQUISE,20,30
EYRIE,13,MARQUISE,13,32
EYRIE,13,MARQUISE,19,33
MARQUISE,16,MARQUISE,31,24
MARQUISE,16,MARQUISE,32,27
MARQUISE,16,MARQUISE,32,23
EYRIE,13,MARQUISE,14,33
EYRIE,15,MARQUISE,24,30
EYRIE,15,EYRIE,15,33
MARQUISE,16,MARQUISE,34,14
MARQUISE,18,MARQUISE,33,26
MARQUISE,18,EYRIE,34,23
EYRIE,15,EYRIE,17,34
EYRIE,15,EYRIE,9,33
EYRIE,15,MARQUISE,18,32
EYRIE,19,MARQUISE,29,31
EYRIE,11,EYRIE,22,33
EYRIE,13,MARQUISE,22,34
EYRIE,15,MARQUISE,20,30
MARQUISE,18,MARQUISE,30,28
EYRIE,15,MARQUISE,24,33
MARQUISE,16,MARQUISE,30,29
MARQUISE,17,MARQUISE,31,17
EYRIE,15,MARQUISE,17,33
MARQUISE,18,MARQUISE,30,19
EYRIE,11,MARQUISE,12,32
EYRIE,13,EYRIE,12,30
EYRIE,11,MARQUISE,19,30
MARQUISE,18,EYRIE,35,19
MARQUISE,23,MARQUISE,30,17
MARQUISE,14,MARQUISE,30,25
MARQUISE,17,MARQUISE,30,20
MARQUISE,23,MARQUISE,30,12
MARQUISE,16,MARQUISE,30,28
EYRIE,15,MARQUISE,15,33
EYRIE,17,MARQUISE,8,34
EYRIE,15,MARQUISE,29,32
EYRIE,11,EYRIE,8,30
EYRIE,11,MARQUISE,10,31
MARQUISE,16,MARQUISE,31,9
EYRIE,13,MARQUISE,12,32
EYRIE,15,MARQUISE,16,30
EYRIE,17,EYRIE,21,34
MARQUISE,18,MARQUISE,31,27
EYRIE,17,EYRIE,11,34
EYRIE,17,EYRIE,14,34
MARQUISE,25,MARQUISE,30,29
MARQUISE,14,MARQUISE,30,21
MARQUISE,20,MARQUISE,31,21
EYRIE,13,MARQUISE,16,30
MARQUISE,16,MARQUISE,31,17
MARQUISE,16,MARQUISE,32,21
EYRIE,13,MARQUISE,18,32
EYRIE,13,MARQUISE,16,30
EYRIE,17,EYRIE,15,32
EYRIE,11,MARQUISE,14,30
MARQUISE,16,MARQUISE,30,24
MARQUISE,20,MARQUISE,33,6
EYRIE,17,MARQUISE,23,31
MARQUISE,20,MARQUISE,35,20
MARQUISE,14,MARQUISE,30,15
EYRIE,13,MARQUISE,27,34
EYRIE,13,MARQUISE,11,32
EYRIE,13,MARQUISE,16,32
EYRIE,11,MARQUISE,13,30
EYRIE,11,MARQUISE,14,32
EYRIE,11,EYRIE,15,30
MARQUISE,14,MARQUISE,32,10
EYRIE,23,EYRIE,26,33
EYRIE,15,MARQUISE,17,34
EYRIE,11,MARQUISE,11,32
EYRIE,11,EYRIE,14,34
EYRIE,11,MARQUISE,10,33
EYRIE,15,MARQUISE,29,32
EYRIE,13,MARQUISE,15,30
MARQUISE,16,MARQUISE,32,26
EYRIE,11,MARQUISE,18,31
MARQUISE,16,MARQUISE,31,12
MARQUISE,16,MARQUISE,30,24
EYRIE,11,MARQUISE,16,30
EYRIE,13,MARQUISE,19,31
EYRIE,13,EYRIE,20,30
MARQUISE,13,MARQUISE,30,26
MARQUISE,16,EYRIE,34,12
EYRIE,19,MARQUISE,13,30
EYRIE,11,MARQUISE,7,31
MARQUISE,20,MARQUISE,33,25
EYRIE,11,MARQUISE,14,30
EYRIE,13,MARQUISE,8,30
EYRIE,13,MARQUISE,16,33
EYRIE,17,MARQUISE,29,32
EYRIE,17,MARQUISE,21,31
EYRIE,15,EYRIE,15,30
EYRIE,13,MARQUISE,14,30
EYRIE,21,MARQUISE,11,32
