winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,19,MARQUISE,23,31
MARQUISE,14,MARQUISE,30,22
MARQUISE,16,MARQUISE,33,10
MARQUISE,18,MARQUISE,32,28
MARQUISE,14,MARQUISE,30,1
MARQUISE,16,MARQUISE,30,16
EYRIE,14,MARQUISE,18,34
MARQUISE,14,MARQUISE,31,3
EYRIE,19,MARQUISE,21,33
MARQUISE,16,MARQUISE,31,16
EYRIE,17,MARQUISE,14,31
EYRIE,19,EYRIE,25,35
EYRIE,16,MARQUISE,29,30
EYRIE,18,MARQUISE,22,30
MARQUISE,18,MARQUISE,30,3
MARQUISE,14,MARQUISE,32,1
MARQUISE,14,MARQUISE,30,1
EYRIE,17,EYRIE,23,33
MARQUISE,20,MARQUISE,33,27
MARQUISE,18,MARQUISE,31,11
MARQUISE,18,MARQUISE,30,29
EYRIE,15,MARQUISE,24,34
EYRIE,20,MARQUISE,27,31
MARQUISE,15,MARQUISE,30,8
EYRIE,17,MARQUISE,27,33
EYRIE,13,MARQUISE,21,32
MARQUISE,16,MARQUISE,31,28
MARQUISE,14,MARQUISE,33,6
MARQUISE,18,MARQUISE,31,23
MARQUISE,14,MARQUISE,31,12
MARQUISE,16,MARQUISE,30,12
EYRIE,21,MARQUISE,28,31
EYRIE,17,MARQUISE,20,34
EYRIE,21,MARQUISE,27,33
EYRIE,15,MARQUISE,20,33
MARQUISE,16,MARQUISE,30,24
EYRIE,19,MARQUISE,20,33
MARQUISE,19,MARQUISE,30,15
MARQUISE,16,MARQUISE,30,24
EYRIE,15,MARQUISE,17,34
EYRIE,19,MARQUISE,25,34
MARQUISE,17,MARQUISE,31,30
EYRIE,19,EYRIE,27,30
MARQUISE,20,MARQUISE,30,27
EYRIE,18,MARQUISE,28,32
MARQUISE,16,MARQUISE,30,8
MARQUISE,16,MARQUISE,30,19
MARQUISE,12,MARQUISE,30,4
EYRIE,16,MARQUISE,18,31
EYRIE,17,MARQUISE,20,33
EYRIE,15,MARQUISE,26,34
MARQUISE,14,MARQUISE,30,25
MARQUISE,16,MARQUISE,34,8
EYRIE,21,MARQUISE,27,32
EYRIE,15,MARQUISE,29,33
MARQUISE,16,MARQUISE,30,25
EYRIE,19,MARQUISE,25,32
EYRIE,17,EYRIE,23,31
MARQUISE,14,MARQUISE,31,22
EYRIE,17,EYRIE,26,31
EYRIE,19,EYRIE,23,38
EYRIE,15,EYRIE,25,30
MARQUISE,16,MARQUISE,33,28
MARQUISE,14,MARQUISE,30,27
EYRIE,20,MARQUISE,17,31
EYRIE,15,MARQUISE,22,33
EYRIE,19,MARQUISE,27,30
EYRIE,18,MARQUISE,24,30
EYRIE,15,MARQUISE,27,32
EYRIE,17,MARQUISE,23,32
EYRIE,19,MARQUISE,26,30
EYRIE,15,MARQUISE,25,31
MARQUISE,16,EYRIE,37,8
MARQUISE,16,MARQUISE,33,16
EYRIE,15,MARQUISE,20,32
EYRIE,19,MARQUISE,24,32
MARQUISE,16,MARQUISE,30,15
MARQUISE,17,MARQUISE,30,26
EYRIE,17,MARQUISE,24,30
EYRIE,17,EYRIE,25,33
MARQUISE,16,MARQUISE,30,14
EYRIE,21,MARQUISE,27,31
MARQUISE,14,MARQUISE,30,18
EYRIE,17,MARQUISE,23,30
EYRIE,17,MARQUISE,17,33
EYRIE,15,MARQUISE,19,32
EYRIE,15,EYRIE,21,30
MARQUISE,17,MARQUISE,30,13
MARQUISE,16,MARQUISE,32,29
EYRIE,20,MARQUISE,24,30
EYRIE,19,EYRIE,25,33
EYRIE,17,MARQUISE,19,30
MARQUISE,12,MARQUISE,33,2
EYRIE,13,MARQUISE,14,31
MARQUISE,14,MARQUISE,30,15
EYRIE,21,MARQUISE,28,31
EYRIE,19,MARQUISE,29,32
MARQUISE,14,MARQUISE,30,5
MARQUISE,14,MARQUISE,31,7
EYRIE,15,MARQUISE,22,33
