winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,19,MARQUISE,30,15
MARQUISE,21,MARQUISE,30,30
MARQUISE,16,MARQUISE,32,22
EYRIE,14,MARQUISE,27,30
EYRIE,11,MARQUISE,17,30
EYRIE,15,MARQUISE,25,30
EYRIE,13,MARQUISE,20,32
MARQUISE,14,MARQUISE,30,18
EYRIE,15,MARQUISE,27,32
EYRIE,15,MARQUISE,27,32
EYRIE,13,MARQUISE,20,31
MARQUISE,12,MARQUISE,30,24
MARQUISE,24,MARQUISE,31,31
EYRIE,13,MARQUISE,18,30
MARQUISE,20,MARQUISE,30,23
MARQUISE,20,MARQUISE,33,19
MARQUISE,18,MARQUISE,34,28
MARQUISE,16,MARQUISE,32,18
MARQUISE,14,MARQUISE,30,14
EYRIE,15,MARQUISE,18,32
MARQUISE,16,MARQUISE,31,27
EYRIE,13,MARQUISE,24,31
EYRIE,13,MARQUISE,22,31
EYRIE,15,EYRIE,27,30
EYRIE,13,EYRIE,24,31
EYRIE,17,EYRIE,15,34
EYRIE,13,MARQUISE,23,33
EYRIE,13,MARQUISE,16,30
EYRIE,11,MARQUISE,19,30
MARQUISE,13,MARQUISE,30,24
EYRIE,12,MARQUISE,18,33
EYRIE,17,MARQUISE,23,30
EYRIE,11,MARQUISE,24,30
MARQUISE,17,EYRIE,30,31
MARQUISE,14,MARQUISE,32,16
EYRIE,15,MARQUISE,29,31
MARQUISE,14,MARQUISE,30,25
MARQUISE,20,MARQUISE,33,27
EYRIE,17,MARQUISE,29,32
MARQUISE,22,MARQUISE,32,28
MARQUISE,18,MARQUISE,31,29
EYRIE,11,MARQUISE,13,31
EYRIE,15,MARQUISE,21,31
MARQUISE,22,MARQUISE,30,23
MARQUISE,16,MARQUISE,31,23
MARQUISE,16,MARQUISE,33,28
EYRIE,13,MARQUISE,22,34
MARQUISE,23,MARQUISE,31,27
EYRIE,17,MARQUISE,25,33
EYRIE,19,MARQUISE,24,32
MARQUISE,23,MARQUISE,30,28
EYRIE,13,MARQUISE,21,31
EYRIE,14,MARQUISE,20,30
EYRIE,15,MARQUISE,23,31
MARQUISE,16,MARQUISE,30,29
EYRIE,14,MARQUISE,20,30
EYRIE,17,MARQUISE,26,32
EYRIE,15,MARQUISE,23,30
MARQUISE,21,MARQUISE,30,21
MARQUISE,14,MARQUISE,30,12
EYRIE,14,MARQUISE,23,30
EYRIE,17,MARQUISE,26,30
EYRIE,13,MARQUISE,20,30
EYRIE,13,MARQUISE,21,31
EYRIE,16,MARQUISE,20,30
EYRIE,19,MARQUISE,27,30
EYRIE,13,MARQUISE,27,30
EYRIE,12,MARQUISE,23,30
MARQUISE,12,MARQUISE,32,13
MARQUISE,18,MARQUISE,30,29
EYRIE,11,EYRIE,15,32
EYRIE,13,MARQUISE,19,33
EYRIE,15,MARQUISE,18,30
EYRIE,13,MARQUISE,18,30
EYRIE,11,MARQUISE,17,32
EYRIE,12,MARQUISE,22,30
MARQUISE,16,MARQUISE,32,14
EYRIE,17,MARQUISE,26,32
MARQUISE,20,MARQUISE,31,22
MARQUISE,25,MARQUISE,30,24
EYRIE,11,MARQUISE,12,30
EYRIE,13,MARQUISE,23,32
EYRIE,13,MARQUISE,17,30
MARQUISE,13,MARQUISE,30,28
EYRIE,18,MARQUISE,25,31
MARQUISE,19,EYRIE,30,12
EYRIE,19,MARQUISE,26,31
MARQUISE,14,MARQUISE,32,19
EYRIE,13,EYRIE,17,30
EYRIE,13,MARQUISE,25,33
MARQUISE,16,MARQUISE,31,16
EYRIE,15,MARQUISE,22,34
EYRIE,15,MARQUISE,22,30
MARQUISE,17,MARQUISE,30,26
MARQUISE,20,MARQUISE,30,23
MARQUISE,18,MARQUISE,31,16
EYRIE,15,MARQUISE,23,31
EYRIE,11,MARQUISE,28,31
EYRIE,19,MARQUISE,23,31
EYRIE,13,MARQUISE,19,31
