winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,15,EYRIE,10,38
EYRIE,17,MARQUISE,21,34
EYRIE,14,EYRIE,10,31
EYRIE,11,MARQUISE,14,32
EYRIE,15,MARQUISE,22,31
MARQUISE,16,MARQUISE,30,20
EYRIE,14,MARQUISE,25,33
MARQUISE,22,MARQUISE,32,17
EYRIE,13,MARQUISE,17,30
EYRIE,21,MARQUISE,27,31
EYRIE,15,MARQUISE,14,32
EYRIE,15,MARQUISE,16,31
MARQUISE,17,MARQUISE,31,20
EYRIE,19,MARQUISE,26,30
EYRIE,12,MARQUISE,9,32
MARQUISE,14,MARQUISE,30,15
MARQUISE,16,MARQUISE,34,17
EYRIE,13,MARQUISE,10,32
EYRIE,17,MARQUISE,28,34
MARQUISE,18,MARQUISE,30,17
EYRIE,21,EYRIE,12,31
MARQUISE,18,MARQUISE,31,24
EYRIE,15,MARQUISE,11,34
EYRIE,12,MARQUISE,8,30
EYRIE,19,MARQUISE,29,33
EYRIE,15,MARQUISE,17,34
MARQUISE,18,MARQUISE,31,21
MARQUISE,16,MARQUISE,31,21
EYRIE,15,MARQUISE,12,30
EYRIE,13,MARQUISE,12,32
MARQUISE,20,MARQUISE,33,27
EYRIE,15,MARQUISE,23,32
MARQUISE,14,MARQUISE,31,21
EYRIE,15,MARQUISE,28,30
MARQUISE,14,MARQUISE,30,15
EYRIE,13,MARQUISE,13,33
EYRIE,13,MARQUISE,15,31
EYRIE,19,MARQUISE,16,33
EYRIE,13,MARQUISE,8,32
EYRIE,29,MARQUISE,29,32
EYRIE,21,MARQUISE,26,32
EYRIE,17,MARQUISE,11,33
EYRIE,15,EYRIE,18,31
EYRIE,15,EYRIE,12,32
MARQUISE,16,MARQUISE,34,19
MARQUISE,26,MARQUISE,30,25
EYRIE,15,EYRIE,21,31
MARQUISE,14,MARQUISE,32,26
EYRIE,11,MARQUISE,14,31
EYRIE,15,MARQUISE,23,30
EYRIE,13,MARQUISE,11,30
EYRIE,13,MARQUISE,14,30
EYRIE,22,MARQUISE,26,31
EYRIE,13,MARQUISE,10,31
EYRIE,15,EYRIE,11,31
EYRIE,13,MARQUISE,12,32
MARQUISE,18,MARQUISE,30,16
EYRIE,11,MARQUISE,11,31
EYRIE,14,MARQUISE,20,30
EYRIE,17,MARQUISE,22,30
EYRIE,17,EYRIE,27,42
EYRIE,21,MARQUISE,25,33
EYRIE,17,EYRIE,15,33
EYRIE,13,MARQUISE,14,30
EYRIE,14,MARQUISE,21,34
MARQUISE,18,MARQUISE,30,11
EYRIE,15,EYRIE,13,31
EYRIE,13,MARQUISE,8,32
EYRIE,11,MARQUISE,10,30
EYRIE,15,MARQUISE,12,33
EYRIE,13,MARQUISE,16,32
MARQUISE,16,EYRIE,30,18
EYRIE,11,MARQUISE,15,30
EYRIE,15,MARQUISE,11,32
MARQUISE,15,MARQUISE,31,23
EYRIE,15,MARQUISE,13,33
EYRIE,13,EYRIE,12,30
EYRIE,15,MARQUISE,29,30
EYRIE,19,MARQUISE,29,30
EYRIE,11,MARQUISE,18,32
EYRIE,11,MARQUISE,14,31
MARQUISE,18,MARQUISE,30,25
EYRIE,11,MARQUISE,6,30
EYRIE,19,MARQUISE,9,32
MARQUISE,17,MARQUISE,30,28
EYRIE,17,MARQUISE,24,33
EYRIE,17,EYRIE,12,34
EYRIE,12,MARQUISE,6,34
MARQUISE,16,MARQUISE,30,21
EYRIE,15,EYRIE,13,34
MARQUISE,16,MARQUISE,30,17
EYRIE,19,EYRIE,24,35
EYRIE,11,MARQUISE,11,30
MARQUISE,22,EYRIE,38,10
EYRIE,19,MARQUISE,21,31
EYRIE,21,MARQUISE,16,31
EYRIE,15,EYRIE,9,30
EYRIE,15,MARQUISE,14,30
EYRIE,15,EYRIE,14,30
EYRIE,15,MARQUISE,10,32
