winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,20,MARQUISE,33,14
MARQUISE,18,MARQUISE,31,12
EYRIE,15,MARQUISE,27,31
EYRIE,11,MARQUISE,24,30
MARQUISE,18,EYRIE,35,20
EYRIE,13,MARQUISE,29,32
EYRIE,16,MARQUISE,27,30
EYRIE,13,EYRIE,22,33
MARQUISE,16,MARQUISE,33,25
EYRIE,13,MARQUISE,23,30
MARQUISE,28,MARQUISE,30,28
EYRIE,13,MARQUISE,21,30
EYRIE,15,MARQUISE,25,34
MARQUISE,18,MARQUISE,33,17
MARQUISE,14,MARQUISE,32,25
EYRIE,16,MARQUISE,24,30
EYRIE,19,MARQUISE,27,32
EYRIE,17,MARQUISE,29,32
MARQUISE,19,MARQUISE,31,30
EYRIE,14,MARQUISE,20,31
MARQUISE,17,EYRIE,30,22
EYRIE,11,MARQUISE,20,30
MARQUISE,20,MARQUISE,34,27
EYRIE,13,MARQUISE,18,33
EYRIE,15,MARQUISE,28,31
MARQUISE,18,MARQUISE,33,20
EYRIE,15,MARQUISE,25,30
MARQUISE,20,EYRIE,31,16
MARQUISE,18,MARQUISE,33,7
EYRIE,15,MARQUISE,21,30
MARQUISE,22,MARQUISE,32,23
MARQUISE,14,MARQUISE,33,11
MARQUISE,14,MARQUISE,30,24
MARQUISE,24,MARQUISE,33,8
MARQUISE,17,EYRIE,30,20
EYRIE,17,MARQUISE,26,30
EYRIE,15,EYRIE,27,31
MARQUISE,19,MARQUISE,30,27
EYRIE,13,MARQUISE,17,30
EYRIE,21,MARQUISE,29,30
EYRIE,17,MARQUISE,28,30
EYRIE,15,MARQUISE,26,30
EYRIE,12,MARQUISE,22,30
MARQUISE,20,MARQUISE,32,23
EYRIE,16,MARQUISE,16,30
EYRIE,10,MARQUISE,25,30
EYRIE,13,MARQUISE,19,32
MARQUISE,25,MARQUISE,30,28
EYRIE,15,MARQUISE,26,30
EYRIE,14,MARQUISE,23,34
EYRIE,16,MARQUISE,26,30
EYRIE,15,MARQUISE,24,33
EYRIE,13,MARQUISE,24,31
MARQUISE,18,MARQUISE,32,20
MARQUISE,24,MARQUISE,33,26
EYRIE,21,EYRIE,29,30
MARQUISE,18,MARQUISE,32,13
MARQUISE,14,MARQUISE,30,29
MARQUISE,20,MARQUISE,32,20
EYRIE,13,MARQUISE,17,33
MARQUISE,20,MARQUISE,33,27
MARQUISE,20,MARQUISE,31,8
EYRIE,17,MARQUISE,18,31
EYRIE,13,MARQUISE,17,32
MARQUISE,14,MARQUISE,31,15
MARQUISE,32,EYRIE,35,7
MARQUISE,30,MARQUISE,31,10
EYRIE,15,MARQUISE,24,33
MARQUISE,25,MARQUISE,31,26
MARQUISE,19,MARQUISE,32,30
MARQUISE,21,EYRIE,30,29
EYRIE,13,MARQUISE,25,31
EYRIE,13,MARQUISE,23,32
MARQUISE,20,EYRIE,34,29
EYRIE,15,MARQUISE,27,30
MARQUISE,18,MARQUISE,31,29
MARQUISE,14,MARQUISE,31,27
MARQUISE,16,MARQUISE,34,2
EYRIE,11,MARQUISE,17,31
EYRIE,12,MARQUISE,19,31
EYRIE,10,MARQUISE,13,30
EYRIE,17,MARQUISE,22,33
MARQUISE,15,MARQUISE,30,16
EYRIE,16,MARQUISE,22,30
EYRIE,14,MARQUISE,23,30
MARQUISE,18,EYRIE,32,25
EYRIE,13,MARQUISE,25,32
MARQUISE,14,MARQUISE,30,17
EYRIE,13,MARQUISE,24,30
MARQUISE,16,MARQUISE,32,12
MARQUISE,22,MARQUISE,30,24
EYRIE,11,MARQUISE,16,31
EYRIE,16,MARQUISE,28,31
EYRIE,13,EYRIE,26,30
EYRIE,15,MARQUISE,19,30
EYRIE,13,EYRIE,21,30
MARQUISE,14,MARQUISE,30,27
EYRIE,15,EYRIE,24,31
EYRIE,13,MARQUISE,24,32
MARQUISE,18,EYRIE,37,17
