winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,17,EYRIE,11,34
EYRIE,17,MARQUISE,22,32
EYRIE,14,MARQUISE,5,33
MARQUISE,12,MARQUISE,31,10
EYRIE,17,MARQUISE,8,37
MARQUISE,12,MARQUISE,30,11
EYRIE,17,EYRIE,18,34
MARQUISE,16,MARQUISE,33,24
MARQUISE,14,MARQUISE,30,8
MARQUISE,17,MARQUISE,31,32
EYRIE,21,MARQUISE,10,30
EYRIE,15,MARQUISE,14,31
EYRIE,17,MARQUISE,5,34
EYRIE,18,EYRIE,21,32
MARQUISE,14,EYRIE,30,10
EYRIE,19,MARQUISE,18,34
MARQUISE,16,MARQUISE,31,14
EYRIE,13,EYRIE,10,33
EYRIE,11,MARQUISE,10,32
EYRIE,15,MARQUISE,8,34
EYRIE,15,EYRIE,9,31
EYRIE,15,MARQUISE,11,37
MARQUISE,14,MARQUISE,30,14
EYRIE,19,EYRIE,15,33
MARQUISE,12,MARQUISE,30,13
EYRIE,17,MARQUISE,15,34
MARQUISE,16,MARQUISE,31,26
EYRIE,15,MARQUISE,20,31
EYRIE,13,EYRIE,11,33
MARQUISE,14,MARQUISE,31,17
MARQUISE,14,MARQUISE,32,15
EYRIE,15,MARQUISE,11,36
EYRIE,17,MARQUISE,10,34
EYRIE,15,MARQUISE,10,31
EYRIE,17,MARQUISE,10,33
EYRIE,19,MARQUISE,8,37
EYRIE,15,EYRIE,6,39
EYRIE,17,MARQUISE,9,37
MARQUISE,16,MARQUISE,30,27
EYRIE,17,MARQUISE,13,31
EYRIE,15,EYRIE,16,33
EYRIE,18,MARQUISE,18,33
EYRIE,15,MARQUISE,13,32
EYRIE,15,MARQUISE,11,31
EYRIE,13,MARQUISE,9,34
EYRIE,13,EYRIE,7,33
MARQUISE,16,MARQUISE,30,24
MARQUISE,12,MARQUISE,31,11
EYRIE,15,EYRIE,13,32
MARQUISE,12,MARQUISE,30,11
EYRIE,19,MARQUISE,13,33
EYRIE,17,MARQUISE,14,32
MARQUISE,14,MARQUISE,30,15
MARQUISE,16,MARQUISE,33,14
MARQUISE,16,MARQUISE,30,10
MARQUISE,15,MARQUISE,30,24
EYRIE,17,MARQUISE,14,34
MARQUISE,12,MARQUISE,31,17
MARQUISE,16,MARQUISE,30,26
MARQUISE,14,MARQUISE,30,16
MARQUISE,14,MARQUISE,30,20
EYRIE,15,MARQUISE,18,33
EYRIE,17,EYRIE,19,39
MARQUISE,13,MARQUISE,30,23
MARQUISE,15,MARQUISE,30,16
MARQUISE,12,MARQUISE,30,6
EYRIE,13,MARQUISE,10,33
EYRIE,13,MARQUISE,8,33
EYRIE,18,EYRIE,25,30
MARQUISE,18,MARQUISE,30,23
EYRIE,17,MARQUISE,7,35
EYRIE,21,MARQUISE,20,33
EYRIE,17,EYRIE,9,33
EYRIE,17,EYRIE,7,34
EYRIE,15,MARQUISE,9,31
EYRIE,17,MARQUISE,15,33
EYRIE,19,EYRIE,9,34
EYRIE,15,MARQUISE,10,34
MARQUISE,16,MARQUISE,31,13
MARQUISE,12,MARQUISE,30,19
MARQUISE,12,MARQUISE,30,11
MARQUISE,14,MARQUISE,31,7
MARQUISE,18,MARQUISE,31,21
MARQUISE,15,MARQUISE,30,23
EYRIE,17,MARQUISE,10,36
EYRIE,17,EYRIE,17,34
EYRIE,17,EYRIE,18,33
MARQUISE,14,MARQUISE,30,14
EYRIE,19,MARQUISE,6,33
EYRIE,13,MARQUISE,16,34
MARQUISE,14,MARQUISE,30,17
MARQUISE,13,MARQUISE,30,26
MARQUISE,16,MARQUISE,34,16
EYRIE,14,MARQUISE,11,31
EYRIE,15,MARQUISE,10,30
EYRIE,17,MARQUISE,18,31
EYRIE,13,MARQUISE,10,33
EYRIE,18,EYRIE,11,32
MARQUISE,14,MARQUISE,30,7
EYRIE,16,MARQUISE,2,33
