winner,turn,current_player,vp_marquise,vp_eyrie
MARQUISE,18,MARQUISE,33,25
MARQUISE,12,MARQUISE,30,9
MARQUISE,20,MARQUISE,30,24
MARQUISE,16,MARQUISE,31,21
MARQUISE,18,MARQUISE,31,22
EYRIE,21,MARQUISE,24,34
EYRIE,15,MARQUISE,26,33
EYRIE,17,MARQUISE,24,30
EYRIE,19,EYRIE,25,32
EYRIE,24,MARQUISE,29,31
MARQUISE,14,MARQUISE,31,24
EYRIE,21,EYRIE,29,31
MARQUISE,24,MARQUISE,32,27
MARQUISE,24,MARQUISE,31,28
MARQUISE,20,MARQUISE,31,15
MARQUISE,16,MARQUISE,30,11
EYRIE,13,MARQUISE,21,30
MARQUISE,14,MARQUISE,31,13
MARQUISE,22,MARQUISE,30,29
MARQUISE,20,MARQUISE,31,25
MARQUISE,16,MARQUISE,30,22
MARQUISE,16,MARQUISE,32,21
MARQUISE,16,MARQUISE,30,18
EYRIE,17,MARQUISE,27,31
MARQUISE,18,MARQUISE,31,23
MARQUISE,16,MARQUISE,31,20
MARQUISE,21,MARQUISE,30,22
EYRIE,15,MARQUISE,23,31
MARQUISE,14,MARQUISE,31,8
MARQUISE,18,MARQUISE,30,26
MARQUISE,15,MARQUISE,30,7
EYRIE,13,EYRIE,14,30
EYRIE,19,EYRIE,20,31
MARQUISE,16,MARQUISE,32,23
MARQUISE,20,MARQUISE,31,19
MARQUISE,19,MARQUISE,31,21
EYRIE,17,MARQUISE,27,32
MARQUISE,15,MARQUISE,31,8
MARQUISE,28,MARQUISE,31,29
MARQUISE,19,MARQUISE,31,29
MARQUISE,16,MARQUISE,30,16
MARQUISE,14,MARQUISE,32,16
MARQUISE,20,MARQUISE,30,28
EYRIE,13,MARQUISE,20,30
EYRIE,19,MARQUISE,26,30
EYRIE,13,MARQUISE,20,31
EYRIE,20,MARQUISE,29,30
MARQUISE,20,MARQUISE,31,25
MARQUISE,20,MARQUISE,30,27
MARQUISE,14,MARQUISE,32,10
MARQUISE,20,MARQUISE,31,21
MARQUISE,28,MARQUISE,33,26
MARQUISE,16,MARQUISE,32,18
EYRIE,15,MARQUISE,28,30
MARQUISE,16,MARQUISE,34,25
EYRIE,25,EYRIE,29,32
MARQUISE,18,MARQUISE,31,24
EYRIE,23,MARQUISE,29,31
EYRIE,22,MARQUISE,24,30
MARQUISE,16,MARQUISE,30,26
EYRIE,19,MARQUISE,28,32
MARQUISE,18,MARQUISE,32,16
MARQUISE,16,MARQUISE,30,19
MARQUISE,12,MARQUISE,31,8
EYRIE,19,MARQUISE,29,32
MARQUISE,14,MARQUISE,30,11
MARQUISE,16,MARQUISE,32,21
MARQUISE,14,MARQUISE,30,23
MARQUISE,16,MARQUISE,32,17
MARQUISE,19,MARQUISE,30,30
MARQUISE,20,MARQUISE,31,10
EYRIE,19,MARQUISE,29,32
EYRIE,19,MARQUISE,25,30
MARQUISE,16,MARQUISE,30,20
MARQUISE,16,MARQUISE,32,25
MARQUISE,12,MARQUISE,30,9
MARQUISE,16,MARQUISE,30,14
MARQUISE,13,MARQUISE,31,22
EYRIE,18,MARQUISE,28,31
EYRIE,23,MARQUISE,28,32
EYRIE,14,MARQUISE,26,30
EYRIE,17,MARQUISE,28,30
MARQUISE,16,MARQUISE,30,9
MARQUISE,16,MARQUISE,33,28
EYRIE,21,MARQUISE,24,31
MARQUISE,20,MARQUISE,31,14
MARQUISE,20,MARQUISE,31,23
MARQUISE,16,MARQUISE,30,13
MARQUISE,14,MARQUISE,33,16
MARQUISE,16,MARQUISE,31,17
MARQUISE,16,MARQUISE,31,4
EYRIE,19,EYRIE,26,31
MARQUISE,14,MARQUISE,31,17
MARQUISE,22,MARQUISE,32,21
MARQUISE,23,MARQUISE,31,27
MARQUISE,21,MARQUISE,30,21
EYRIE,15,MARQUISE,21,30
MARQUISE,18,MARQUISE,30,26
MARQUISE,14,MARQUISE,30,15
MARQUISE,12,MARQUISE,31,13
