winner,turn,current_player,vp_marquise,vp_eyrie
EYRIE,13,MARQUISE,15,31
MARQUISE,14,MARQUISE,30,11
MARQUISE,14,MARQUISE,30,22
MARQUISE,14,MARQUISE,30,3
MARQUISE,16,MARQUISE,31,1
MARQUISE,14,MARQUISE,31,9
MARQUISE,16,MARQUISE,30,26
MARQUISE,18,MARQUISE,32,24
EYRIE,16,MARQUISE,22,32
MARQUISE,18,MARQUISE,31,15
MARQUISE,14,MARQUISE,30,5
EYRIE,15,MARQUISE,21,32
MARQUISE,12,MARQUISE,33,4
MARQUISE,18,MARQUISE,34,18
MARQUISE,14,MARQUISE,33,0
EYRIE,15,EYRIE,18,31
MARQUISE,14,MARQUISE,32,0
EYRIE,17,MARQUISE,28,32
MARQUISE,12,MARQUISE,32,2
EYRIE,17,MARQUISE,22,31
MARQUISE,14,MARQUISE,32,18
MARQUISE,16,MARQUISE,30,5
EYRIE,18,MARQUISE,28,30
MARQUISE,16,MARQUISE,30,24
EYRIE,21,MARQUISE,21,32
MARQUISE,14,MARQUISE,30,9
EYRIE,15,MARQUISE,18,31
EYRIE,14,MARQUISE,16,30
EYRIE,17,EYRIE,25,30
MARQUISE,14,MARQUISE,31,16
MARQUISE,16,MARQUISE,34,23
MARQUISE,13,MARQUISE,30,9
EYRIE,13,MARQUISE,18,31
EYRIE,15,MARQUISE,17,31
EYRIE,22,MARQUISE,27,32
EYRIE,15,EYRIE,20,33
EYRIE,17,MARQUISE,23,33
EYRIE,16,MARQUISE,26,33
EYRIE,17,EYRIE,18,30
EYRIE,16,MARQUISE,18,31
MARQUISE,14,MARQUISE,30,22
MARQUISE,16,MARQUISE,32,6
MARQUISE,16,MARQUISE,34,2
EYRIE,18,MARQUISE,19,33
EYRIE,17,MARQUISE,27,31
MARQUISE,18,MARQUISE,31,19
MARQUISE,17,MARQUISE,30,2
MARQUISE,12,MARQUISE,30,0
MARQUISE,13,MARQUISE,32,1
EYRIE,17,MARQUISE,18,33
MARQUISE,13,MARQUISE,30,27
EYRIE,16,EYRIE,29,30
MARQUISE,12,MARQUISE,32,1
EYRIE,13,MARQUISE,28,33
MARQUISE,16,MARQUISE,31,6
MARQUISE,20,MARQUISE,32,28
MARQUISE,17,MARQUISE,31,29
EYRIE,17,MARQUISE,26,35
MARQUISE,14,MARQUISE,31,1
MARQUISE,16,MARQUISE,32,1
EYRIE,17,MARQUISE,25,32
MARQUISE,19,MARQUISE,31,3
EYRIE,13,EYRIE,13,30
EYRIE,19,MARQUISE,26,32
MARQUISE,18,MARQUISE,30,26
MARQUISE,14,MARQUISE,32,13
EYRIE,12,MARQUISE,22,32
MARQUISE,18,EYRIE,35,1
MARQUISE,16,MARQUISE,30,25
MARQUISE,16,MARQUISE,31,7
EYRIE,15,MARQUISE,18,30
MARQUISE,21,MARQUISE,30,17
EYRIE,19,MARQUISE,28,30
EYRIE,17,MARQUISE,19,32
MARQUISE,18,MARQUISE,30,28
MARQUISE,16,MARQUISE,31,4
MARQUISE,17,MARQUISE,33,22
EYRIE,15,MARQUISE,20,30
MARQUISE,14,MARQUISE,30,1
MARQUISE,12,MARQUISE,30,3
MARQUISE,14,MARQUISE,34,1
MARQUISE,14,MARQUISE,31,18
EYRIE,13,MARQUISE,16,32
MARQUISE,16,MARQUISE,31,1
MARQUISE,17,MARQUISE,32,26
EYRIE,13,MARQUISE,20,31
MARQUISE,14,MARQUISE,31,8
EYRIE,13,EYRIE,19,34
EYRIE,13,MARQUISE,23,33
EYRIE,13,MARQUISE,16,33
EYRIE,19,EYRIE,20,32
EYRIE,14,MARQUISE,14,30
EYRIE,13,MARQUISE,26,33
MARQUISE,16,MARQUISE,31,9
MARQUISE,12,MARQUISE,33,0
EYRIE,19,MARQUISE,27,31
EYRIE,19,MARQUISE,23,32
EYRIE,17,MARQUISE,26,33
EYRIE,13,MARQUISE,18,31
MARQUISE,14,MARQUISE,31,0
