winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
MARQUISE,dominance,19,MARQUISE,16,9,mouse
MARQUISE,dominance,25,MARQUISE,12,2,fox
MARQUISE,dominance,23,MARQUISE,13,13,fox
MARQUISE,dominance,23,MARQUISE,19,9,mouse
MARQUISE,dominance,87,MARQUISE,26,0,fox
MARQUISE,dominance,151,MARQUISE,22,0,fox
MARQUISE,dominance,19,MARQUISE,14,3,rabbit
MARQUISE,dominance,37,MARQUISE,23,3,bird
MARQUISE,dominance,85,MARQUISE,10,0,rabbit
MARQUISE,dominance,89,MARQUISE,20,0,fox
MARQUISE,dominance,19,MARQUISE,22,1,rabbit
MARQUISE,dominance,51,MARQUISE,20,19,fox
MARQUISE,dominance,35,MARQUISE,17,4,bird
EYRIE,dominance,34,EYRIE,12,10,fox
MARQUISE,dominance,21,MARQUISE,10,2,fox
MARQUISE,dominance,29,MARQUISE,11,8,bird
EYRIE,vp,34,MARQUISE,14,30,none
MARQUISE,dominance,29,MARQUISE,10,15,bird
EYRIE,vp,50,MARQUISE,12,31,none
MARQUISE,dominance,29,MARQUISE,20,8,fox
MARQUISE,dominance,21,MARQUISE,19,7,rabbit
MARQUISE,dominance,21,MARQUISE,11,0,mouse
MARQUISE,dominance,21,MARQUISE,11,12,mouse
MARQUISE,dominance,11,MARQUISE,10,2,fox
EYRIE,dominance,58,EYRIE,10,0,rabbit
MARQUISE,vp,31,MARQUISE,30,5,none
MARQUISE,dominance,15,MARQUISE,11,1,bird
MARQUISE,dominance,21,MARQUISE,12,3,fox
MARQUISE,dominance,71,MARQUISE,17,0,bird
MARQUISE,dominance,125,MARQUISE,14,0,rabbit
EYRIE,dominance,46,EYRIE,10,12,fox
MARQUISE,dominance,31,MARQUISE,23,2,fox
EYRIE,dominance,44,EYRIE,13,5,fox
MARQUISE,dominance,63,MARQUISE,12,0,fox
MARQUISE,dominance,35,MARQUISE,17,0,rabbit
MARQUISE,vp,22,MARQUISE,32,5,none
EYRIE,dominance,22,EYRIE,14,12,mouse
MARQUISE,dominance,13,MARQUISE,10,1,bird
MARQUISE,dominance,11,MARQUISE,12,1,fox
MARQUISE,dominance,27,MARQUISE,10,12,bird
EYRIE,dominance,28,EYRIE,20,13,fox
MARQUISE,dominance,11,MARQUISE,10,4,mouse
MARQUISE,dominance,15,MARQUISE,18,2,mouse
EYRIE,dominance,34,EYRIE,11,0,fox
MARQUISE,dominance,17,MARQUISE,13,9,fox
EYRIE,dominance,64,EYRIE,12,0,fox
MARQUISE,dominance,15,MARQUISE,18,7,fox
MARQUISE,dominance,15,MARQUISE,12,2,fox
MARQUISE,dominance,27,MARQUISE,18,4,bird
EYRIE,dominance,26,EYRIE,15,10,fox
EYRIE,dominance,42,EYRIE,23,12,bird
MARQUISE,dominance,21,MARQUISE,18,9,rabbit
MARQUISE,dominance,19,MARQUISE,15,5,mouse
MARQUISE,dominance,27,MARQUISE,13,1,mouse
MARQUISE,dominance,19,MARQUISE,12,2,fox
MARQUISE,dominance,17,MARQUISE,10,2,bird
EYRIE,vp,34,MARQUISE,13,31,none
MARQUISE,dominance,23,MARQUISE,12,1,bird
MARQUISE,dominance,23,MARQUISE,12,7,bird
EYRIE,dominance,24,EYRIE,16,2,fox
MARQUISE,dominance,53,MARQUISE,10,17,fox
MARQUISE,dominance,19,MARQUISE,11,3,fox
MARQUISE,dominance,37,MARQUISE,27,5,rabbit
MARQUISE,dominance,27,MARQUISE,17,0,fox
MARQUISE,dominance,19,MARQUISE,11,11,fox
MARQUISE,dominance,31,MARQUISE,12,8,fox
MARQUISE,dominance,23,MARQUISE,10,10,fox
EYRIE,vp,29,MARQUISE,20,30,none
MARQUISE,dominance,27,MARQUISE,14,9,bird
MARQUISE,dominance,19,MARQUISE,11,6,mouse
