winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
EYRIE,vp,17,EYRIE,15,35,none
EYRIE,vp,29,MARQUISE,22,33,none
EYRIE,vp,17,MARQUISE,16,30,none
EYRIE,vp,15,MARQUISE,13,33,none
EYRIE,vp,17,EYRIE,17,30,none
MARQUISE,vp,24,MARQUISE,30,30,none
EYRIE,vp,15,MARQUISE,12,34,none
EYRIE,vp,17,EYRIE,17,38,none
EYRIE,vp,17,EYRIE,18,30,none
EYRIE,vp,23,MARQUISE,9,30,none
EYRIE,vp,15,MARQUISE,8,33,none
EYRIE,vp,17,MARQUISE,18,32,none
EYRIE,vp,21,MARQUISE,11,30,none
EYRIE,vp,19,MARQUISE,11,32,none
EYRIE,vp,19,MARQUISE,17,32,none
EYRIE,vp,23,MARQUISE,16,31,none
EYRIE,vp,17,MARQUISE,19,30,none
EYRIE,vp,25,MARQUISE,14,31,none
EYRIE,vp,27,MARQUISE,21,33,none
EYRIE,vp,25,EYRIE,15,31,none
EYRIE,vp,19,EYRIE,19,30,none
EYRIE,vp,17,EYRIE,8,35,none
EYRIE,vp,19,MARQUISE,13,32,none
EYRIE,vp,16,MARQUISE,8,34,none
EYRIE,vp,19,EYRIE,18,30,none
EYRIE,vp,25,MARQUISE,22,31,none
EYRIE,vp,15,MARQUISE,14,30,none
EYRIE,vp,13,MARQUISE,12,32,none
EYRIE,vp,17,MARQUISE,8,33,none
EYRIE,vp,15,MARQUISE,24,30,none
EYRIE,vp,15,MARQUISE,15,32,none
EYRIE,vp,15,MARQUISE,6,32,none
EYRIE,vp,21,MARQUISE,15,32,none
EYRIE,vp,19,MARQUISE,19,31,none
EYRIE,vp,20,MARQUISE,16,30,none
MARQUISE,vp,25,EYRIE,30,22,none
EYRIE,vp,19,MARQUISE,9,33,none
EYRIE,vp,20,MARQUISE,10,31,none
EYRIE,vp,22,MARQUISE,13,32,none
EYRIE,vp,21,MARQUISE,16,32,none
EYRIE,vp,21,MARQUISE,10,30,none
EYRIE,vp,17,MARQUISE,11,33,none
EYRIE,vp,17,MARQUISE,16,30,none
EYRIE,vp,15,MARQUISE,15,33,none
EYRIE,vp,25,MARQUISE,20,30,none
EYRIE,vp,17,MARQUISE,8,30,none
EYRIE,vp,15,MARQUISE,10,32,none
EYRIE,vp,19,EYRIE,15,30,none
EYRIE,vp,11,MARQUISE,13,30,none
EYRIE,vp,19,MARQUISE,16,30,none
EYRIE,vp,17,MARQUISE,11,31,none
EYRIE,vp,15,MARQUISE,16,30,none
EYRIE,vp,15,MARQUISE,7,31,none
EYRIE,vp,17,MARQUISE,4,33,none
EYRIE,vp,21,MARQUISE,9,31,none
EYRIE,vp,15,MARQUISE,13,33,none
EYRIE,vp,17,MARQUISE,22,33,none
EYRIE,vp,25,MARQUISE,23,31,none
EYRIE,vp,15,MARQUISE,16,34,none
EYRIE,vp,17,EYRIE,5,39,none
EYRIE,vp,21,MARQUISE,12,31,none
EYRIE,vp,17,MARQUISE,11,33,none
EYRIE,vp,15,MARQUISE,16,30,none
EYRIE,vp,17,MARQUISE,17,32,none
EYRIE,vp,13,MARQUISE,7,33,none
EYRIE,vp,17,MARQUISE,11,31,none
EYRIE,vp,19,MARQUISE,15,30,none
EYRIE,vp,15,MARQUISE,17,30,none
EYRIE,vp,15,EYRIE,11,31,none
EYRIE,vp,17,MARQUISE,14,33,none
EYRIE,vp,17,MARQUISE,15,30,none
EYRIE,vp,15,MARQUISE,18,30,none
EYRIE,vp,21,MARQUISE,12,30,none
EYRIE,vp,13,MARQUISE,14,34,none
EYRIE,vp,17,MARQUISE,16,31,none
EYRIE,vp,17,MARQUISE,14,32,none
EYRIE,vp,19,EYRIE,5,30,none
EYRIE,vp,22,MARQUISE,25,31,none
EYRIE,vp,13,MARQUISE,16,34,none
EYRIE,vp,15,MARQUISE,11,31,none
EYRIE,vp,27,MARQUISE,18,34,none
EYRIE,vp,21,MARQUISE,21,30,none
EYRIE,vp,17,MARQUISE,20,32,none
EYRIE,vp,17,MARQUISE,20,32,none
EYRIE,vp,19,EYRIE,9,33,none
EYRIE,vp,13,MARQUISE,10,31,none
EYRIE,vp,25,MARQUISE,21,33,none
EYRIE,vp,13,MARQUISE,10,32,none
EYRIE,vp,13,MARQUISE,16,30,none
EYRIE,vp,18,MARQUISE,14,30,none
EYRIE,vp,14,MARQUISE,4,30,none
EYRIE,vp,13,MARQUISE,15,32,none
EYRIE,vp,21,MARQUISE,25,30,none
EYRIE,vp,17,MARQUISE,5,31,none
EYRIE,vp,15,MARQUISE,11,34,none
EYRIE,vp,17,MARQUISE,15,31,none
EYRIE,vp,15,EYRIE,16,38,none
EYRIE,vp,17,MARQUISE,20,31,none
EYRIE,vp,23,MARQUISE,18,33,none
EYRIE,vp,15,MARQUISE,13,33,none
