winner,condition,turn,current_player,vp_marquise,vp_eyrie,winning_dominance
MARQUISE,dominance,44,MARQUISE,18,0,mouse
MARQUISE,dominance,46,MARQUISE,12,0,mouse
EYRIE,dominance,27,EYRIE,9,18,fox
EYRIE,dominance,53,EYRIE,13,0,bird
EYRIE,dominance,15,EYRIE,10,8,bird
MARQUISE,dominance,138,MARQUISE,14,0,bird
MARQUISE,dominance,24,MARQUISE,11,10,fox
EYRIE,dominance,21,EYRIE,10,9,fox
MARQUISE,dominance,40,MARQUISE,16,14,fox
MARQUISE,dominance,20,MARQUISE,10,0,mouse
EYRIE,dominance,83,EYRIE,15,0,fox
MARQUISE,dominance,32,MARQUISE,11,12,fox
EYRIE,vp,21,MARQUISE,11,30,none
MARQUISE,dominance,50,MARQUISE,13,20,bird
MARQUISE,dominance,132,MARQUISE,11,0,rabbit
MARQUISE,dominance,63,EYRIE,10,0,mouse
EYRIE,vp,29,MARQUISE,13,32,none
MARQUISE,dominance,50,MARQUISE,17,0,rabbit
MARQUISE,dominance,12,MARQUISE,12,0,mouse
MARQUISE,dominance,70,MARQUISE,11,0,mouse
EYRIE,vp,35,MARQUISE,21,30,none
MARQUISE,dominance,72,MARQUISE,19,0,rabbit
EYRIE,dominance,23,EYRIE,14,9,bird
MARQUISE,dominance,20,MARQUISE,13,2,rabbit
MARQUISE,dominance,36,MARQUISE,13,1,rabbit
EYRIE,dominance,61,EYRIE,13,0,rabbit
MARQUISE,dominance,20,MARQUISE,11,2,fox
MARQUISE,dominance,18,MARQUISE,11,4,mouse
MARQUISE,dominance,142,MARQUISE,21,0,rabbit
MARQUISE,dominance,18,MARQUISE,15,2,rabbit
MARQUISE,dominance,20,MARQUISE,11,2,fox
MARQUISE,dominance,18,MARQUISE,12,4,mouse
EYRIE,dominance,29,EYRIE,11,11,bird
MARQUISE,dominance,48,MARQUISE,12,0,mouse
EYRIE,dominance,55,EYRIE,15,0,rabbit
MARQUISE,dominance,26,MARQUISE,12,7,bird
